issuerTradingSymbol,date,close
NRG,2023-07-31,37.99
NRG,2023-08-01,37.82
NRG,2023-08-02,37.37
NRG,2023-08-03,37.66
NRG,2023-08-04,37.52
NRG,2023-08-07,37.52
NRG,2023-08-08,36.78
NRG,2023-08-09,37.22
NRG,2023-08-10,36.93
NRG,2023-08-11,36.66
NRG,2023-08-14,37.0
NRG,2023-08-15,36.95
NRG,2023-08-16,37.15
NRG,2023-08-17,36.77
NRG,2023-08-18,36.45
NRG,2023-08-21,36.87
NRG,2023-08-22,36.96
NRG,2023-08-23,37.26
NRG,2023-08-24,37.0
NRG,2023-08-25,37.16
NRG,2023-08-28,37.6
NRG,2023-08-29,37.12
NRG,2023-08-30,37.45
NRG,2023-08-31,37.55
NRG,2023-09-01,38.45
NRG,2023-09-05,37.97
NRG,2023-09-06,38.02
NRG,2023-09-07,38.35
NRG,2023-09-08,39.51
NRG,2023-09-11,38.85
NRG,2023-09-12,38.69
NRG,2023-09-13,38.76
NRG,2023-09-14,39.14
NRG,2023-09-15,39.1
NRG,2023-09-18,39.75
NRG,2023-09-19,39.19
NRG,2023-09-20,38.89
NRG,2023-09-21,37.89
NRG,2023-09-22,38.63
NRG,2023-09-25,39.19
NRG,2023-09-26,38.3
NRG,2023-09-27,38.58
NRG,2023-09-28,38.28
NRG,2023-09-29,38.52
NRG,2023-10-02,37.57
NRG,2023-10-03,37.85
NRG,2023-10-04,37.46
NRG,2023-10-05,38.69
NRG,2023-10-06,38.97
NRG,2023-10-09,39.7
NRG,2023-10-10,39.86
NRG,2023-10-11,41.27
NRG,2023-10-12,41.37
NRG,2023-10-13,41.01
NRG,2023-10-16,41.54
NRG,2023-10-17,42.02
NRG,2023-10-18,41.47
NRG,2023-10-19,40.76
NRG,2023-10-20,40.53
NRG,2023-10-23,40.64
NRG,2023-10-24,42.07
NRG,2023-10-25,41.83
NRG,2023-10-26,42.2
NRG,2023-10-27,41.66
NRG,2023-10-30,42.25
NRG,2023-10-31,42.38
NRG,2023-11-01,43.86
NRG,2023-11-02,45.13
NRG,2023-11-03,45.0
NRG,2023-11-06,45.74
NRG,2023-11-07,45.42
NRG,2023-11-08,45.68
NRG,2023-11-09,45.07
NRG,2023-11-10,45.55
NRG,2023-11-13,46.09
NRG,2023-11-14,47.32
NRG,2023-11-15,47.51
NRG,2023-11-16,47.57
NRG,2023-11-17,48.08
NRG,2023-11-20,47.29
NRG,2023-11-21,45.2
NRG,2023-11-22,45.83
NRG,2023-11-24,45.89
NRG,2023-11-27,46.46
NRG,2023-11-28,46.78
NRG,2023-11-29,46.85
NRG,2023-11-30,47.84
NRG,2023-12-01,48.37
NRG,2023-12-04,48.08
NRG,2023-12-05,48.26
TTEC,2022-12-06,46.82
TTEC,2022-12-07,45.77
TTEC,2022-12-08,46.61
TTEC,2022-12-09,45.94
TTEC,2022-12-12,46.59
TTEC,2022-12-13,46.19
TTEC,2022-12-14,46.04
TTEC,2022-12-15,44.0
TTEC,2022-12-16,44.17
TTEC,2022-12-19,43.97
TTEC,2022-12-20,44.45
TTEC,2022-12-21,45.64
TTEC,2022-12-22,44.53
TTEC,2022-12-23,44.02
